Produit,SKU,Client,Logo blanc,Catégorie,Catégorie client,Contenance,Mockup-appli,ADV,Etuis/étiquettes (dernière version validée),Dosage pour,Allégations complètes,Allégations selectionnées,Composition,Liste d'ingrédients,Conseils d'utilisation,Précaution d'emploi,Poids net,Attestation de déclaration,ACL,Mockup,MOCKUP PN - v2 (old),MOCKUP PN - v1 (old),Statut Mockup,Photos du produit
OMEGA 3,,RNPC,rnpc-blanc (1).png (https://dl.airtable.com/.attachments/6b6b6f96a2f247592995c84f6005db17/ac4c62e5/rnpc-blanc1.png),Confort et prévention,,90 capsules,Mockup-omega-3 (1).png (https://dl.airtable.com/.attachments/b63df976fe180331a6da4d4b2c9a9319/7e3b9850/Mockup-omega-31.png),,"etui omega 3 mg.pdf (https://dl.airtable.com/.attachments/cd965eb8c5e8051bc4ea84204860d5cc/eb13fd3d/etuiomega3mg.pdf),etiquette omega 3 mg (1).pdf (https://dl.airtable.com/.attachments/0dfab8aad6b768ba215db5150c76eeae/cda20fa7/etiquetteomega3mg1.pdf)",3 capsules,,"'- coeur (1)
- cerveau (2) 
- vision (2)

(1) : L’EPA et la DHA contribuent à une fonction cardiaque normale.
(2) : La DHA contribue au fonctionnement normal du cerveau et au maintien d’une vision normale.","- OmégaVie 3624 Quality silver:
- huile de poisson : 1500 mg
dont acides gras oméga 3: 1050 mg
dont EPA : 540 mg
dont DHA : 360 mg",OmégaVie 3624 Quality silver® : huile de poisson source d'acides gras oméga 3 ; Capsule : gélatine de poisson ; Humectant : glycerol ; Anti-oxydants : tocophérols et extrait de romarin.,Prendre 3 capsules par jour de préférence pendant les repas.,"Ce produit est un complément alimentaire à base d’huile de poisson. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 6 ans. À conserver à l’abri de la lumière, de la chaleur et de l’humidité. 

L’effet bénéfique est obtenu par la consommation journalière de 250 mg de DHA.","61,29 G",,,Mockup-omega-3 (1).png (https://dl.airtable.com/.attachments/7838798451b6878b559dcca677facd76/cd2a272f/Mockup-omega-31.png),,,Fait,
TRANSIT,,RNPC,rnpc-blanc (1).png (https://dl.airtable.com/.attachments/6b6b6f96a2f247592995c84f6005db17/ac4c62e5/rnpc-blanc1.png),Digestion Transit Detox,,60 gélules,Mockup-confort-transit (1).png (https://dl.airtable.com/.attachments/181f910b7a608ee53b7d762947efad59/75d628ed/Mockup-confort-transit1.png),,etui transit.pdf (https://dl.airtable.com/.attachments/92e0dc2215d888ab01ec6c51b2aacfca/6008ec48/etuitransit.pdf),2 gélules,,"'- digestion (1) 
- ballonnements (1)

(1) : Le Terminalia chebula supporte la fonction digestive et équilibre les gaz digestifs
","- Triphalla : 800 mg
dont Terminalia chebula : 267 mg
dont Terminalia bellerica : 267 mg
dont Phyllanthus emblica : 267 mg
- Psyllium noir : 100 mg","Triphala : extrait de fruits de Terminalia chebula, Terminalia bellerica,
Phyllanthus emblica ; Gélule végétale : pullulan ; Poudre de graines de psyllium noir (Plantago indica)  ; Anti-agglomérant : extrait de riz BIO. ",Prendre 2 gélules par jour.,"Ce produit est un complément alimentaire à base de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la lumière, de la chaleur et de l’humidité. ","32,10 G",,,Mockup-confort-transit (1).png (https://dl.airtable.com/.attachments/8d6cedea8a8349d7b5521bcd20c763da/dd6055be/Mockup-confort-transit1.png),,,Fait,
AIl NOIR,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,45 gélules,mediprix-ail-bio-45g.png (https://dl.airtable.com/.attachments/15a3b2598ff435c9f8ce621ecb7a2a79/cd83b079/mediprix-ail-bio-45g.png),,AIl NOIR 45g_31.pdf (https://dl.airtable.com/.attachments/6d0e8e272faf4596591e272d2d36eaa1/0685e466/AIlNOIR45g_31.pdf),2 gélules,,- Soutient la circulation veinotonique,- extrait de bulbes d’ail noir BIO 400 mg,"agent de charge : gomme d’acacia BIO ; extrait
de bulbes d’ail noir (Allium sativum) BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. ",prendre 1 à 2 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être
utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anticoagulant. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","25,47g",,,mediprix-ail-bio-45g (1).png (https://dl.airtable.com/.attachments/23f287d5aa39e919e9bf6536ba20c996/cc4e011f/mediprix-ail-bio-45g1.png),,,Fait,
AIl NOIR,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,150 gélules,mediprix-ail-bio-150g.png (https://dl.airtable.com/.attachments/416371cf442cda8a49afcf8946b15fd5/af94a8be/mediprix-ail-bio-150g.png),,AIl NOIR 150G_31.pdf (https://dl.airtable.com/.attachments/fb98c8c8500630e631f1d9c733c6f996/1f2c32b0/AIlNOIR150G_31.pdf),2 gélules,,- Recommandé en cas d'insuffisances veineuses,- extrait de bulbes d’ail noir BIO 400 mg,"agent de charge : gomme d’acacia BIO ; extrait
de bulbes d’ail noir (Allium sativum) BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. ",prendre 1 à 2 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être
utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anticoagulant. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","84,90g",,,mediprix-ail-bio-150g.png (https://dl.airtable.com/.attachments/988747c3747c3533a1d0a5f8779f5982/869fb251/mediprix-ail-bio-150g.png),,,Fait,
ARTIMED,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Douleur et inflammation,Mediprix expert,120 gélules,artimed-expert-120g.png (https://dl.airtable.com/.attachments/1e8f9c576ccf688483f4b4228d9bd8f9/6a199efd/artimed-expert-120g.png),,Artimed2OK.pdf (https://dl.airtable.com/.attachments/46c2a7001ed1aad3f18a66fde430e673/b43d3d8a/Artimed2OK.pdf),4 gélules,,"'- Aide à maintenir une bonne mobilité (1)
- Soutient la fonctiondes muscles et des articulations (2)

(1) Harpagophytum
(2) Cassis","'- Sulfate de glucosamine HCL végétale : 1200 mg
- Sulfate de chondroïtine marine : 400 mg
- Extrait sec de feuilles de cassis (Ribes nigrum) titré à 15% de polyphénols : 200 mg 
- Extrait sec de racines d’Harpagophytum procumbens titré à 10% d’harpagosides : 200 mg 
- Extrait sec de feuilles de peuplier tremble (Populus tremula) : 180 mg 
- Extrait sec de feuilles de frêne (Fraxinus excelsior) : 60 mg 
- Extrait sec de sommités fleuries de verge d’or (Solidago virgaurea) 60 mg",Sulfate de glucosamine HCL végétale; Sulfate de chondroïtine marine (poisson) : Gélule d’origine végétale : hydroxypropylméthylcellulose; Extrait sec de feuilles de cassis (Ribes nigrum) titré à 15% de polyphénols; Extrait sec de racines d’harpagophytum (Harpagophytum procumbens) titré à 10% d’harpagosides; Extrait sec de feuilles de peuplier tremble (Populus tremula); Extrait sec de feuilles de frêne (Fraxinus excelsior) ; Extrait sec de sommités fleuries de verge d’or (Solidago virgaurea) ; Anti-agglomérant : stéarate de magnésium.,2 gélules le matin et 2 gélules le soir.,"Ce produit est un complément alimentaire à base de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux enfants, aux adolescents, aux personnes souffrant d’allergies aux dérivés salicylés, aux personnes sous traitement anticoagulant, ainsi qu’aux femmes enceintes ou qui allaitent et aux personnes souffrant d’ulcère gastro-duodénal ou de
calcul biliaire. A conserver à l’abri de la chaleur et de l’humidité. ", 82.92g,,3 770002 638002,artimed-expert-120g.png (https://dl.airtable.com/.attachments/52a4fa4135dce64bb0e9a9a44d00c0e6/61a1ffae/artimed-expert-120g.png),,,Fait,
BARDANE,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,150 gélules,mediprix-bardane-bio-150g.png (https://dl.airtable.com/.attachments/54175369f7b5ebf1416909744cb90a67/3353dec1/mediprix-bardane-bio-150g.png),,BARDANE 150G_32.pdf (https://dl.airtable.com/.attachments/2d6c3f1d8cc629767f39308a1c43b590/fedb474e/BARDANE150G_32.pdf),3 gélules,,"- aide à lutter contre les problèmes de peau
- facilite les fonctions d’élimination de l’organisme
- combat la formation de radicaux libre.",- extrait de racines de bardane BIO 1200 mg,"extrait de racines de bardane BIO (Arctium lappa) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. 
",prendre 1 à 3 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","83,40g",,,mediprix-bardane-bio-150g.png (https://dl.airtable.com/.attachments/0be89fee77bc1aed77f0cf5fb575ced8/de62b2f8/mediprix-bardane-bio-150g.png),,,Fait,
BARDANE,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,45 gélules,mediprix-bardane-bio-45g.png (https://dl.airtable.com/.attachments/22b5ea5857f003fc974075b7fc0ad12d/6e0a1147/mediprix-bardane-bio-45g.png),,BARDANE 45g_32.pdf (https://dl.airtable.com/.attachments/77c2420d800b65177bb0da8b2ccc83e3/0a8f40e2/BARDANE45g_32.pdf),3 gélules,,"- aide à lutter contre les problèmes de peau
- facilite les fonctions d’élimination de l’organisme
- combat la formation de radicaux libre.",- extrait de racines de bardane BIO 1200 mg,"extrait de racines de bardane BIO (Arctium lappa) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. 
",prendre 1 à 3 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","25,02g",,,mediprix-bardane-bio-45g.png (https://dl.airtable.com/.attachments/1672531391564791e605227cba5eea94/8bed55f1/mediprix-bardane-bio-45g.png),,,Fait,
BRUYERE,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,150 gélules,mediprix-bruyere-bio-150g.png (https://dl.airtable.com/.attachments/7e355bd0379c71c4b03b4d6f8a10d7e3/16ac72b6/mediprix-bruyere-bio-150g.png),,BRUYERE 150G_33.pdf (https://dl.airtable.com/.attachments/1694319ac53db1710860b3182cad3660/5d958114/BRUYERE150G_33.pdf),3 gélules,,"- apaise, équilibre l’humeur, facilite l’endormissement
- renforce l’immunité
- favorise l’élimination rénale de l’eau
- facilite
- l’élimination urinaire
- drainant. ",- extrait de parties aériennes de bruyère BIO 900 mg,extrait de parties aériennes de bruyère BIO (Calluna vulgaris) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. ,prendre 1 à 3 gélules par jour,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","83,40g",,,mediprix-bruyere-bio-150g.png (https://dl.airtable.com/.attachments/c625960358baed1bfc9b37b02e1f9f73/913592f2/mediprix-bruyere-bio-150g.png),,,Fait,
BRUYERE,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,45 gélules,mediprix-bruyere-bio-45g.png (https://dl.airtable.com/.attachments/8503a5be52eaff687384740e0438beed/9541133f/mediprix-bruyere-bio-45g.png),,BRUYERE 45g_33.pdf (https://dl.airtable.com/.attachments/4df5154a7e84182733def252ae6f01bc/901e493c/BRUYERE45g_33.pdf),3 gélules,,"- apaise, équilibre l’humeur, facilite l’endormissement
- renforce l’immunité
- favorise l’élimination rénale de l’eau
- facilite
- l’élimination urinaire
- drainant. ",- extrait de parties aériennes de bruyère BIO 900 mg,extrait de parties aériennes de bruyère BIO (Calluna vulgaris) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. ,prendre 1 à 3 gélules par jour,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","25,02g",,,mediprix-bruyere-bio-45g.png (https://dl.airtable.com/.attachments/1d45bc70743ac37c0e5e5752ef65279e/52b108eb/mediprix-bruyere-bio-45g.png),,,Fait,
DETOX,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Digestion Transit Detox,Mediprix expert,30 gélules,mediexpert-detox-30g.png (https://dl.airtable.com/.attachments/d878a4db875ab771e602295887a08044/76b010b8/mediexpert-detox-30g.png),,Detox MEDIEXPERT 60ml.pdf (https://dl.airtable.com/.attachments/00aef53d6d34d028ccba48bc3cee15fc/4918b959/DetoxMEDIEXPERT60ml.pdf),2 gélules,,"- Supporte le foie et la fonction biliaire
- Aide à éliminer les métaux lourds de l’organisme","- Chlorella BIO : 300 mg
- Extrait de feuilles de desmodium : 200 mg 
- Extrait de fruits de chardon marie BIO : 150 mg
- Extrait de racines de bardane BIO : 150 mg","Chlorella BIO (Chlorella pyrenoidosa) ; Extrait de feuilles de desmodium (Desmodium adscendens) ; Gélule végétale : Pullulan ; Extrait de fruits de chardon marie BIO (Silybum marianum) ; Extrait de racines de bardane BIO (Arctium lappa) ; Agent de charge : Gomme d’acacia ; Anti-agglomérant : extrait de riz. 65% des ingrédients sont issus de
l’agriculture biologique.",2 gélules par jour avec un grand verre d’eau. Durée du programme : 15 jours.,"Ce produit est un complé- ment alimentaire à base de chlorella et d’extrait de plantes. Les compléments alimentaires doivent être
utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de
12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","16,98g",,,mediexpert-detox-30g.png (https://dl.airtable.com/.attachments/3ec691b49156fff07b5a2141a33fecf8/d06ba2d6/mediexpert-detox-30g.png),,,Fait,
ECHINACEE,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,150 gélules,mediprix-echinacee-bio-150g.png (https://dl.airtable.com/.attachments/79407cbda0ddfbd9dbd6440992bb0e9b/d7e77775/mediprix-echinacee-bio-150g.png),,ECHINACEE 150G_34.pdf (https://dl.airtable.com/.attachments/02cd5e3e87850e9d73d66890c858a9fa/9c949724/ECHINACEE150G_34.pdf),3 gélules,,"- contribue à la résistance de l’organisme
- supporte les mécanismes de défense naturelle. ",- extrait de racines d’echinacée BIO 900 mg,extrait de racines d’echinacée BIO (Echinacea pur- purea) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO.,prendre 1 à 3 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","83,40g",,,mediprix-echinacee-bio-150g.png (https://dl.airtable.com/.attachments/b29ee4eb16d4e29a753cfd866462aa3e/40ecc29d/mediprix-echinacee-bio-150g.png),,,Fait,
ECHINACEE,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Bio,Medicinal,45 gélules,mediprix-echinacee-bio-45g.png (https://dl.airtable.com/.attachments/15ec86503b9aae6491f67720cc143da5/ccdfdaae/mediprix-echinacee-bio-45g.png),,ECHINACEE 45g_34.pdf (https://dl.airtable.com/.attachments/fe420d3b2b2e3255b1da18c8f4c0ace1/014f136d/ECHINACEE45g_34.pdf),3 gélules,,"- contribue à la résistance de l’organisme
- supporte les mécanismes de défense naturelle. ",- extrait de racines d’echinacée BIO 900 mg,extrait de racines d’echinacée BIO (Echinacea pur- purea) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO.,prendre 1 à 3 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","25,02g",,,mediprix-echinacee-bio-45g.png (https://dl.airtable.com/.attachments/7e0dd7afefb9a0eec2772b026e80e10e/8f556f92/mediprix-echinacee-bio-45g.png),,,Fait,
FER,,MEDIPRIX,mediprix-blanc (1).png (https://dl.airtable.com/.attachments/cbf73e379b89a3fed5684efe197e673a/c874f56a/mediprix-blanc1.png),Confort et prévention,Mediprix expert,30 gélules,mediexpert-fer-bisglycinate-30g.png (https://dl.airtable.com/.attachments/5e9bd0fd84799310f5cca3473ec7d244/ec482d48/mediexpert-fer-bisglycinate-30g.png),,Fer Bisglycinate 60ml.pdf (https://dl.airtable.com/.attachments/3f79abbcd678c61b0c7c5198f8cb26f5/f9fcaac1/FerBisglycinate60ml.pdf),1 gélule,,"- Haute assimilation
- Tolérance digestive
- Réduction de la fatigue
- La vitamine C accroît l’absorption de fer","- Bisglycinate de fer : 70 mg 
dont fer élément : 14 mg 100% 
- Vitamine C : 80 mg 100% 
- Vitamine B9 : 200 µg 100% 
- Vitamine B12 : 2,5 µg 100%","Agent de charge : gomme d’acacia ; Vitamine C (acide ascorbique) ;
Gélule végétale : Pullulan ; Bisglycinate de fer ; Anti-agglomérant : extrait de riz ; Vitamine B9 (acide folique) ; Vitamine B12 (cyanocobalamine).",1 gélule par jour avec un grand verre d’eau. Durée du programme : 30 jours.,"Ce produit est un complé- ment alimentaire à base de fer et de vitamine. Les compléments alimentaires doivent être utilisés dans
le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de por- tée des enfants. Déconseillé aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","16,59g",,,mediexpert-fer-bisglycinate-30g.png (https://dl.airtable.com/.attachments/b568c3f9c4d3b7b938278f23415121e9/d1e1bfd9/mediexpert-fer-bisglycinate-30g.png),,,Fait,
